idParroquia;nombreParroquia;idCanton
100153;CAROLINA;1001
150103;HATUN SUMAKU;1501
180168;UNAMUNCHO;1801
180102;CELIANO MONGE;1801
180350;CEVALLOS, CABECERA CANTONAL;1803
180161;PILAGUIN (PILAHUIN);1801
180855;SAN ANDRÉS;1808
180450;MOCHA, CABECERA CANTONAL;1804
220159;NUEVO PARAISO (CAB. EN UNION );2201
180153;AUGUSTO N. MARTINEZ (MUNDUGLEO);1801
180167;CUNCHIBAMBA;1801
180251;LLIGUA;1802
180152;ATAHUALPA (CHISALATA);1801
180756;GARCIA MORENO (CHUMAQUI);1807
180552;LOS ANDES (CAB EN POATUG);1805
180751;BENITEZ (PACHANLICA);1807
130103;COLÓN;1301
180857;SAN MIGUELITO;1808
180162;QUISAPINCHA (QUIZAPINCHA);1801
140202;MERCEDES MOLINA;1402
190950;PAQUISHA;1909
190351;ZURMI;1903
190152;GUADALUPE;1901
210155;EL ENO;2101
210652;SEVILLA;2106
210651;SANTA ROSA DE SUCUMBIOS;2106
220255;YASUNI;2202
220152;TARACOA;2201
150755;SAN JOSE DEL PAYAMINO;1507
220354;SAN SEBASTIÁN DEL COCA;2203
240155;SIMON BOLIVAR (JULIO MORENO);2401
